countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
42,Croatia,2,5,19.355660299826,9.43177801655586,10.9829661016949,10.9829661016949,1953,2002,454,517,454,10.9829661016949,0,4048,,16812,
43,Cuba,1,2,29.3911412588183,13.7618727954145,23.5105626530095,7.07930318712859,1970,1981,1902,1946,1902,23.5105626530095,1,4335,2448,6438,3502
44,Cyprus,1,1,29.4554047264624,11.1476111810871,18.3364719101124,7.1480393258427,1945,2010,1922,1955,1922,18.3364719101124,0,,,27887,4081
45,Czechoslovakia (Note: two independent countries after 1993),1,1,43.5837070037718,10.3163043255793,31.3784275955096,10.6807334089991,1834,2000,1867,1951,1867,31.3784275955096,0,1793.13333333333,2158.15,16743,6607
46,Denmark,1,1,31.2956304896528,11.6733054441417,23.1105414817478,10.2247016259722,1886,1982,1834,1943,1834,23.1105414817478,0,4198,2510,27964,9128
47,Djibouti,3,2,44.4988068965517,22.5455962864721,24.9205955076416,10.2098850151804,1978,2016,1953,1979,1935,35.6382982239148,1,3152,3349,3064,3049
48,Dominica,1,2,41.2058578881411,21.4527165850545,17.8856390688904,6.45208218943511,1969,1976,1948,1975,1914,32.3453492155042,1,2119,,3155,2961
49,Dominican Republic,3,2,50.5782970762852,17.2913039222938,18.9612433830681,6.26914260290131,1954,2016,1953,1981,1903,41.7177884036483,1,2674,2610,14489,5609
50,Ecuador,3,2,46.1541371183717,18.3289230851634,27.5939092157313,5.29387052964641,1957,2016,1917,1992,1885,37.2936284457347,1,3975,1849,10527,7661
51,"Egypt, Arab Rep.",3,1,42.6509789695058,22.5812323655014,27.3749411560689,6.24644869318867,1968,2016,1934,1997,1934,27.3749411560689,0,3054,3037.37837837838,11351,7882
52,El Salvador,3,2,44.1342048971263,16.2332304064629,29.2460928185288,6.73104130072008,1968,2016,1902,1996,1877,35.2736962244894,1,4881,,8280,5896
53,Equatorial Guinea,3,2,42.359589254766,34.7710126516465,31.1704653472856,10.8241075848964,1997,2016,1953,2009,1947,33.4990805821291,1,9105,970,33317,47670
54,Eritrea,3,2,48.32166066482,32.5211814958449,26.6878092392605,6.84114881043864,1967,2016,1953,2015,1914,39.461151992183,1,,,,
55,Estonia,2,5,18.1044151676651,10.7752110427568,12.0915254237288,12.0915254237288,1953,2001,454,517,454,12.0915254237288,0,,,15060,
56,Ethiopia,3,2,48.4874008036163,31.1287090105474,28.5199629610957,8.08727329789936,1992,2016,1953,2016,1919,39.6268921309793,1,603,553,1635,1635
57,Fiji,3,2,37.8726414997432,19.5168323497204,17.5465952080123,6.57836491525424,1964,2016,1922,1976,1866,29.0121328271062,1,,,,
58,Finland,1,1,38.4884953244545,10.9246123952556,27.6895857078824,9.49406381934217,1862,1996,1866,1957,1866,27.6895857078824,0,1451,1551,26935,8888
59,France,1,1,39.8773129778719,15.3865837037298,38.3348723354366,8.82688793335125,1763,1939,1740,1990,1740,38.3348723354366,0,1731,1713,7885,29031
60,French Polynesia,3,2,42.7463193979344,13.8133379088298,12.8356578162598,5.07467934927915,1956,2016,1953,1987,1861,33.8858107252974,1,,,,
61,Gabon,3,1,36.5150800385728,29.8548783885139,25.5286033793676,10.1877937556883,1990,2016,1961,1989,1961,25.5286033793676,0,20000,11549,18413,19412
62,"Gambia, The",3,1,50.2886424532406,40.3338144120632,34.2049274782213,9.66772832544111,1981,2016,1955,1999,1955,34.2049274782213,0,1778,1256,1788,1515
